origen,producto_insumo_codigo,producto_insumo,producto_destino_codigo,producto_destino,valor_millones_quetzales
domestico,P002,Frijoles,P104,Servicio de transporte de pasajeros por vía terrestre,0
domestico,P002,Frijoles,P105,Servicio de transporte de carga por vía terrestre,0
domestico,P002,Frijoles,P106,Otros tipos de transporte,0
domestico,P002,Frijoles,P107,Servicios de almacenamiento y depósito,0
domestico,P002,Frijoles,P108,Otros servicios de apoyo al transporte,0
domestico,P002,Frijoles,P109,Servicios postales y de mensajería,0
domestico,P002,Frijoles,P110,Servicio de alojamiento,0
domestico,P002,Frijoles,P111,Servicio de suministro de comidas y bebidas,48.8314037881532
domestico,P002,Frijoles,P112,"Servicios de información, telecomunicaciones y radiodifusión",0
domestico,P002,Frijoles,P113,Servicios de banco central,0
domestico,P002,Frijoles,P114,Otros servicios financieros y servicios de banca de inversión,0
domestico,P002,Frijoles,P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),0
domestico,P002,Frijoles,P116,"Servicios de seguro, reaseguro y fondos de pensiones",0
domestico,P002,Frijoles,P117,Servicios auxiliares de la intermediación financiera,0
domestico,P002,Frijoles,P118,Servicios de alquiler de vivienda,0
domestico,P002,Frijoles,P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",0
domestico,P002,Frijoles,P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",0
domestico,P002,Frijoles,P121,Servicios de tecnología de la información,0
domestico,P002,Frijoles,P122,"Servicios de arquitectura e ingeniería, ensayos y análisis técnicos",0
domestico,P002,Frijoles,P123,"Otros servicios profesionales, científicos y técnicos",0
domestico,P002,Frijoles,P124,Servicios de publicidad y estudios de mercado,0
domestico,P002,Frijoles,P125,Servicios de arrendamiento o alquiler sin operador,0
domestico,P002,Frijoles,P126,Servicios  de agencias de empleo y de dotación de recursos humanos,0
domestico,P002,Frijoles,P127,"Servicios de agencias de viajes, operadores turísticos y actividades conexas",0
domestico,P002,Frijoles,P128,"Servicios de seguridad, sistemas de seguridad e investigación privada",0
domestico,P002,Frijoles,P129,Servicios de limpieza,0
domestico,P002,Frijoles,P130,Servicios telefónicos de centros de llamadas,0
domestico,P002,Frijoles,P131,"Servicios administrativos, de apoyo de oficina y otros servicios de apoyo a las empresas",0
domestico,P002,Frijoles,P132,"Servicios de mantenimiento, reparación e instalación de productos metálicos elaborados, maquinaria y equipo",0
domestico,P002,Frijoles,P133,Servicios de reparación de otros bienes,0
domestico,P002,Frijoles,P134,"Servicios de apoyo a la agricultura, caza, silvicultura y pesca",0
domestico,P002,Frijoles,P135,"Servicios de apoyo a la explotación de minas y canteras y los relacionados con la distribución de electricidad, gas y agua",0
domestico,P002,Frijoles,P136,Servicios de manufactura,0
domestico,P002,Frijoles,P137,Servicios públicos del gobierno general,0
domestico,P002,Frijoles,P138,"Servicios públicos administrativos relacionados con la provisión de servicios educativos, de salud, servicios sociales, culturales y otros, sin contar los servicios de seguridad social",0
domestico,P002,Frijoles,P139,Otros servicios administrativos,0
domestico,P002,Frijoles,P140,Servicios públicos administrativos prestados a la comunidad en su conjunto,0
domestico,P002,Frijoles,P141,Servicios administrativos relacionados con los sistemas de seguridad social de afiliación obligatoria,0
domestico,P002,Frijoles,P142,Servicios de enseñanza,0
domestico,P002,Frijoles,P143,Servicios de hospitalización,0
domestico,P002,Frijoles,P144,Servicios médicos y dentales,0
domestico,P002,Frijoles,P145,Otros servicios de atención de la salud humana,0.0445498975951923
domestico,P002,Frijoles,P146,"Servicios audiovisuales, recreativos, culturales y deportivos",0
domestico,P002,Frijoles,P147,Servicios de asociaciones que sirven a las empresas,0
domestico,P002,Frijoles,P148,Servicios de asociaciones que sirven a los hogares,0.486434713725882
domestico,P002,Frijoles,P149,Otros servicios,0
domestico,P002,Frijoles,P150,Servicios domésticos,0
domestico,P002,Frijoles,P151,Compras directas en el exterior por residentes,0
domestico,P002,Frijoles,P152,Compras directas en el territorio nacional por no residentes,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P001,Maíz,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P002,Frijoles,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P003,Leguminosas (legumbres secas) y semillas oleaginosas,95.8108509897429
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P004,Arroz,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P005,Otros cereales,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P006,Hortalizas,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P007,Sandías y melones,10.5508936532182
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P008,Ejotes y arvejas,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P009,Raíces y tubérculos,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P010,Caña de azúcar y otras plantas azucareras,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P011,Tabaco y otras plantas no perennes,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P012,"Bananos, plátanos y otros",0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P013,Frutas tropicales y subtropicales,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P014,"Berries, otras frutas y semillas de frutas",0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P015,Palma africana,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P016,Café en grano,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P017,Cardamomo,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P018,Caucho natural,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P019,Propagación de plantas,0.018871736496168
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P021,Ganado bovino,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P022,Ganado porcino y otro tipo de animales vivos n.c.p.,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P023,Aves de corral,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P024,Leche cruda,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P025,Huevos,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P026,Otros productos de animales vivos,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P027,Troncos de madera y leña,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P028,Productos forestales no madereros,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P029,"Peces vivos, frescos o refrigerados",0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P030,Crustáceos sin congelar y otros productos de la pesca,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P031,Petróleo crudo y gas natural,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P032,Minerales metálicos,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P033,Minerales no metálicos,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P035,Carne y despojos comestibles de ganado porcino,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P036,Carne y despojos comestibles de aves,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P037,Carne y despojos de otros animales y conservas y preparados de carne,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P038,"Pescado congelado, preparado o en conserva y sus productos",0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P040,"Vegetales preparados o en conserva, legumbres y papas",0.650704447067228
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P041,Preparaciones y conservas de frutas y nueces,26.2903197514347
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P042,Jugos de frutas,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P043,Aceites de origen vegetal,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P044,"Margarina, grasas y otros aceites de origen animal y vegetal",0.616854602917568
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P045,Leche líquida y crema procesada,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P046,Otros productos lácteos n.c.p.,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P047,Harina de trigo,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P048,Arroz sin cáscara,0
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,P049,"Otros productos de molinería, almidones y productos de almidón",0.143513604466651
