origen,codigo,producto,componente,valor_publicado_millones_quetzales,multiplicador_contable,valor_aplicado_millones_quetzales
domestico,P084,Otros productos elaborados de metal,consumo_hogares,240.913172774813,1,240.913172774813
domestico,P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",consumo_hogares,0.216681565490006,1,0.216681565490006
domestico,P086,Electrodomésticos y sus partes,consumo_hogares,0,1,0
domestico,P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",consumo_hogares,0,1,0
domestico,P088,"Maquinaria y aparatos eléctricos, sus partes y piezas",consumo_hogares,4.02068039831658,1,4.02068039831658
domestico,P089,"Equipo y aparatos de radio, televisión y comunicaciones",consumo_hogares,0,1,0
domestico,P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",consumo_hogares,34.4429422955788,1,34.4429422955788
domestico,P091,Equipo de transporte,consumo_hogares,277.659691060451,1,277.659691060451
domestico,P092,Muebles,consumo_hogares,2190.60599053758,1,2190.60599053758
domestico,P093,Otros artículos n.c.p.,consumo_hogares,862.466171383523,1,862.466171383523
domestico,P094,Residuos y desechos,consumo_hogares,0,1,0
domestico,P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",consumo_hogares,5301.34880344284,1,5301.34880344284
domestico,P096,Agua natural y distribución de agua natural,consumo_hogares,1183.2952092493,1,1183.2952092493
domestico,P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",consumo_hogares,450.667756088854,1,450.667756088854
domestico,P098,Edificaciones residenciales,consumo_hogares,0,1,0
domestico,P099,Edificaciones no residenciales,consumo_hogares,0,1,0
domestico,P100,Obras de ingeniería civil,consumo_hogares,0,1,0
domestico,P101,Servicios generales y especializados de construcción,consumo_hogares,110.240787312852,1,110.240787312852
domestico,P102,Servicios de comercio,consumo_hogares,72946.1055169695,1,72946.1055169695
domestico,P103,Mantenimiento y reparación de vehículos automotores y motocicletas,consumo_hogares,5711.80036797364,1,5711.80036797364
domestico,P104,Servicio de transporte de pasajeros por vía terrestre,consumo_hogares,5654.80782753905,1,5654.80782753905
domestico,P105,Servicio de transporte de carga por vía terrestre,consumo_hogares,3056.6908943993,1,3056.6908943993
domestico,P106,Otros tipos de transporte,consumo_hogares,246.119413385182,1,246.119413385182
domestico,P107,Servicios de almacenamiento y depósito,consumo_hogares,0,1,0
domestico,P108,Otros servicios de apoyo al transporte,consumo_hogares,1765.6305266606,1,1765.6305266606
domestico,P109,Servicios postales y de mensajería,consumo_hogares,325.218143979133,1,325.218143979133
domestico,P110,Servicio de alojamiento,consumo_hogares,877.084754710434,1,877.084754710434
domestico,P111,Servicio de suministro de comidas y bebidas,consumo_hogares,24469.8992280186,1,24469.8992280186
domestico,P112,"Servicios de información, telecomunicaciones y radiodifusión",consumo_hogares,13507.1387285554,1,13507.1387285554
domestico,P113,Servicios de banco central,consumo_hogares,0,1,0
domestico,P114,Otros servicios financieros y servicios de banca de inversión,consumo_hogares,523.266523720787,1,523.266523720787
domestico,P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),consumo_hogares,9058.32166575995,1,9058.32166575995
domestico,P116,"Servicios de seguro, reaseguro y fondos de pensiones",consumo_hogares,1614.01522651942,1,1614.01522651942
domestico,P117,Servicios auxiliares de la intermediación financiera,consumo_hogares,1954.83181877897,1,1954.83181877897
domestico,P118,Servicios de alquiler de vivienda,consumo_hogares,30462.7748683978,1,30462.7748683978
domestico,P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",consumo_hogares,29.6872019086769,1,29.6872019086769
domestico,P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",consumo_hogares,153.286574440027,1,153.286574440027
domestico,P121,Servicios de tecnología de la información,consumo_hogares,0,1,0
domestico,P122,"Servicios de arquitectura e ingeniería, ensayos y análisis técnicos",consumo_hogares,83.7548599840627,1,83.7548599840627
domestico,P123,"Otros servicios profesionales, científicos y técnicos",consumo_hogares,81.3534956988212,1,81.3534956988212
domestico,P124,Servicios de publicidad y estudios de mercado,consumo_hogares,2.5608787659644,1,2.5608787659644
domestico,P125,Servicios de arrendamiento o alquiler sin operador,consumo_hogares,327.266690818806,1,327.266690818806
domestico,P126,Servicios  de agencias de empleo y de dotación de recursos humanos,consumo_hogares,0,1,0
domestico,P127,"Servicios de agencias de viajes, operadores turísticos y actividades conexas",consumo_hogares,218.35317330226,1,218.35317330226
domestico,P128,"Servicios de seguridad, sistemas de seguridad e investigación privada",consumo_hogares,252.982644153006,1,252.982644153006
domestico,P129,Servicios de limpieza,consumo_hogares,28.0932839224408,1,28.0932839224408
domestico,P130,Servicios telefónicos de centros de llamadas,consumo_hogares,0,1,0
