indicador_id,indicador,unidad,criterio_desempate,posicion_ordenada,rango_con_empates,codigo,producto,producto_produccion_cero,apto_para_simulacion,estado_simulacion,valor
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,133,133,P008,Ejotes y arvejas,False,True,apto,0.834367551274223
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,134,134,P094,Residuos y desechos,False,True,apto,0.829103990199957
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,135,135,P140,Servicios públicos administrativos prestados a la comunidad en su conjunto,False,True,apto,0.812989355245954
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,136,136,P128,"Servicios de seguridad, sistemas de seguridad e investigación privada",False,True,apto,0.811099074502455
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,137,137,P013,Frutas tropicales y subtropicales,False,True,apto,0.810328160197758
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,138,138,P038,"Pescado congelado, preparado o en conserva y sus productos",False,True,apto,0.809541293101446
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,139,139,P068,"Gasolinas, diésel oil y fuel oils",False,True,apto,0.805276810136603
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,140,140,P027,Troncos de madera y leña,False,True,apto,0.785932702566404
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,141,141,P149,Otros servicios,False,True,apto,0.785775912429924
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,142,142,P142,Servicios de enseñanza,False,True,apto,0.785338919172201
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,143,143,P126,Servicios  de agencias de empleo y de dotación de recursos humanos,False,True,apto,0.765273220308829
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,144,144,P134,"Servicios de apoyo a la agricultura, caza, silvicultura y pesca",False,True,apto,0.750734325179842
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,145,145,P118,Servicios de alquiler de vivienda,False,True,apto,0.737366062681271
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,146,146,P069,"Aceites, grasas lubricantes y otros aceites preparados",True,False,solo_completitud_algebraica,0.678089868348049
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,147,146,P086,Electrodomésticos y sus partes,True,False,solo_completitud_algebraica,0.678089868348049
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,148,146,P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",True,False,solo_completitud_algebraica,0.678089868348049
