codigo,producto,produccion_precios_basicos,total_utilizacion_precios_basicos,diferencia_produccion_utilizacion,producto_interno_bruto,puestos_trabajo
P133,Servicios de reparación de otros bienes,1250.19310761361,1250.19310761361,0,1259.30603044798,19877
P134,"Servicios de apoyo a la agricultura, caza, silvicultura y pesca",3070.59597749529,3070.59597749529,1.81898940354586e-12,3089.5654999508,174837
P135,"Servicios de apoyo a la explotación de minas y canteras y los relacionados con la distribución de electricidad, gas y agua",381.8733785494,381.8733785494,0,385.753411031922,250
P136,Servicios de manufactura,6817.20614666822,6817.20614666822,0,6867.50107964015,88283
P137,Servicios públicos del gobierno general,10283.765882568,10283.765882568,0,10444.1089308188,44198
P138,"Servicios públicos administrativos relacionados con la provisión de servicios educativos, de salud, servicios sociales, culturales y otros, sin contar los servicios de seguridad social",1832.16760074829,1832.16760074829,0,1847.60147907696,13529
P139,Otros servicios administrativos,4099.48947251279,4099.48947251279,0,4147.96758177682,21455
P140,Servicios públicos administrativos prestados a la comunidad en su conjunto,8682.33365248077,8682.33365248077,0,8723.96298482093,73794
P141,Servicios administrativos relacionados con los sistemas de seguridad social de afiliación obligatoria,738.227703465825,738.227703465825,0,741.398234285893,3789
P142,Servicios de enseñanza,19863.9379509429,19863.9379509429,4.36557456851006e-11,19955.7161148247,246068
P143,Servicios de hospitalización,6404.99384360084,6404.99384360084,0,6461.07733674766,47734
P144,Servicios médicos y dentales,4544.55080926705,4544.55080926705,0,4596.37213725217,26811
P145,Otros servicios de atención de la salud humana,2663.41360718373,2663.41360718373,-4.54747350886464e-13,2695.93718923497,77475
P146,"Servicios audiovisuales, recreativos, culturales y deportivos",2198.51496531136,2198.51496531137,-8.18545231595635e-12,2225.66914173898,15475
P147,Servicios de asociaciones que sirven a las empresas,265.549518565033,265.54951856504,-6.70752342557535e-12,268.273300347479,1316
P148,Servicios de asociaciones que sirven a los hogares,1925.97312464437,1925.97312464437,0,1960.58877288734,9164
P149,Otros servicios,7674.61149543887,7674.61149543887,0,7708.54380731987,86171
P150,Servicios domésticos,7294.0998186,7294.0998186,0,7294.0998186,355196
P151,Compras directas en el exterior por residentes,0,0,0,0,0
P152,Compras directas en el territorio nacional por no residentes,0,0,0,0,0
