codigo,producto,exportaciones_fob,consumo_hogares,consumo_isflsh,consumo_gobierno,formacion_bruta_capital_fijo,variacion_existencias,ajuste_cif_fob_publicado,ajuste_cif_fob_aplicado,total_componentes_no_solapados,total_demanda_final_fuente,ajuste_balance_produccion_utilizacion,demanda_final_balanceada
P017,Cardamomo,1690.199019,0,0,0,19.7105168118086,-108.194101979185,0,-0,1601.71543383262,1601.71543383262,0,1601.71543383262
P018,Caucho natural,1876.597296,0,0,0,17.1857799697041,0,0,-0,1893.7830759697,1893.7830759697,-4.54747350886464e-13,1893.7830759697
P019,Propagación de plantas,253.832085,29.3152840544036,0,0,0,0,0,-0,283.147369054404,283.147369054404,-1.40062184073031e-10,283.147369054263
P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",19.1095586483933,144.077705702481,0,0,6.52705179633994,0,0,-0,169.714316147214,169.714316147214,1.35173650051001e-10,169.714316147349
P021,Ganado bovino,23.9643991357754,0,0,0,44.488079316462,43.2319472864116,0,-0,111.684425738649,111.684425738649,0,111.684425738649
P022,Ganado porcino y otro tipo de animales vivos n.c.p.,1.13478,161.787970152478,0.01178,2.44169486607143,24.434255,0.564502799999952,0,-0,190.374982818549,190.37498281855,0,190.37498281855
P023,Aves de corral,12.504845,507.51020133369,0.027835,0.713021633928571,485.931895257472,24.36727872054,0,-0,1031.05507694563,1031.05507694563,0,1031.05507694563
P024,Leche cruda,0,693.662732514208,0,0,0,0,0,-0,693.662732514208,693.662732514208,0,693.662732514208
P025,Huevos,0,2457.93297675151,0.139214486591643,0,0,0,0,-0,2458.0721912381,2458.0721912381,6.13908923696727e-11,2458.07219123816
P026,Otros productos de animales vivos,44.5266808997102,26.607745270105,0,0,0,0,0,-0,71.1344261698152,71.1344261698152,5.95434812566964e-12,71.1344261698212
P027,Troncos de madera y leña,11.523621,3103.5125972631,0,0,0,0,0,-0,3115.0362182631,3115.0362182631,0,3115.0362182631
P028,Productos forestales no madereros,142.188999465724,81.2000295170458,0,0,0,0,0,-0,223.38902898277,223.38902898277,8.50661763251992e-11,223.389028982855
P029,"Peces vivos, frescos o refrigerados",36.7811657646997,821.047512052852,0,0,0,0,0,-0,857.828677817552,857.828677817552,-1.02318153949454e-12,857.828677817551
P030,Crustáceos sin congelar y otros productos de la pesca,201.139168841933,320.305583864874,0,0,0,92.1261817868274,0,-0,613.570934493634,613.570934493634,-1.46542333823163e-10,613.570934493488
P031,Petróleo crudo y gas natural,2214.71768859199,0,0,0,0,23.0718289324649,0,-0,2237.78951752446,2237.78951752446,0,2237.78951752446
P032,Minerales metálicos,4016.789804,0,0,0,0,10.8984400464014,0,-0,4027.6882440464,4027.6882440464,-4.54747350886464e-13,4027.6882440464
P033,Minerales no metálicos,66.9252307314348,173.130713538716,0,0.962892959196284,0,22.5811393898203,0,-0,263.599976619167,263.599976619167,-7.83347786637023e-09,263.599976611334
P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,59.3365220083889,4837.29184482891,0.0299568218565527,0.156031439119924,0,-4.36506273852231,0,-0,4892.44929235975,4892.44929235975,1.2732925824821e-10,4892.44929235988
P035,Carne y despojos comestibles de ganado porcino,0.957469,618.991393580605,0,0,0,-5.87673807703142,0,-0,614.072124503574,614.072124503574,-2.43289832724258e-11,614.072124503549
P036,Carne y despojos comestibles de aves,48.479381,6091.06880629303,0.260803224577857,0.0314828976908754,0,-26.8431401205717,0,-0,6112.99733329473,6112.99733329473,1.24600774142891e-10,6112.99733329485
P037,Carne y despojos de otros animales y conservas y preparados de carne,293.1183709692,1359.29594115587,0,0,0,-13.2313648764973,0,-0,1639.18294724857,1639.18294724857,-9.54969436861575e-12,1639.18294724856
P038,"Pescado congelado, preparado o en conserva y sus productos",581.34234650439,21.1566184058213,0,0,0,-0.237959609348789,0,-0,602.261005300863,602.261005300863,-8.31050783745013e-11,602.261005300779
P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",360.102272733167,17.7819743831953,0,0,0,-4.25072325410193,0,-0,373.63352386226,373.63352386226,-6.05382410867605e-11,373.6335238622
P040,"Vegetales preparados o en conserva, legumbres y papas",518.5202664641,399.079691554193,0.00708242596952192,0,0,6.68454618109905,0,-0,924.291586625361,924.291586625361,1.26192389870994e-11,924.291586625374
P041,Preparaciones y conservas de frutas y nueces,613.9647984352,248.901782323262,0,0,0,4.91377345094531,0,-0,867.780354209408,867.780354209408,-1.42904355016071e-10,867.780354209265
P042,Jugos de frutas,262.7723544576,817.259741905873,0,0,0,4.77239618561532,0,-0,1084.80449254909,1084.80449254909,-9.43600753089413e-11,1084.80449254899
P043,Aceites de origen vegetal,2509.2955069106,905.81234479572,10.9749515364062,12.3784039145882,0,40.0493447217148,0,-0,3478.51055187903,3478.51055187903,-3.91082721762359e-11,3478.51055187899
P044,"Margarina, grasas y otros aceites de origen animal y vegetal",353.2498629093,247.777517784035,0,0,0,1.71864422929293,0,-0,602.746024922628,602.746024922628,6.98037183610722e-11,602.746024922698
P045,Leche líquida y crema procesada,1.7222177733,876.611910485084,0.135404122954774,0,0,4.57586340263564,0,-0,883.045395783975,883.045395783974,-6.57109922030941e-11,883.045395783909
P046,Otros productos lácteos n.c.p.,93.8315229994434,1657.59743301166,0,0,0,5.08937123689525,0,-0,1756.518327248,1756.518327248,-1.19371179607697e-09,1756.51832724681
P047,Harina de trigo,26.1100983200099,39.5088965246785,0.105057496944919,0,0,8.76380412654343,0,-0,74.4878564681767,74.4878564681767,9.36779542826116e-11,74.4878564682704
P048,Arroz sin cáscara,3.446638,402.350296283072,1.09519207788266,25.0721921237764,0,7.44429635059126,0,-0,439.408614835322,439.408614835322,9.12905306904577e-11,439.408614835413
P049,"Otros productos de molinería, almidones y productos de almidón",282.567800800727,555.877342187224,6.50167351180547,37.3807999964496,0,8.97298388049515,0,-0,891.300600376702,891.300600376702,-9.54969436861575e-12,891.300600376692
