codigo,producto,multiplicador_produccion_domestica,encadenamiento_atras_normalizado,encadenamiento_adelante_normalizado,coeficiente_importacion_directa,requerimiento_importacion_total,multiplicador_valor_agregado,multiplicador_empleo_puestos_por_millon
P070,"Gases de petróleo, otros productos de la refinación de petróleo n.c.p.",1.31445188201031,0.891316503622211,0.78849434132141,0.182302124358181,0.225954720622706,0.760672299568159,1.55786941490563
P071,"Abonos, fertilizantes y pesticidas",1.38699355470162,0.940506276907212,1.99397581032246,0.306284551297615,0.386943244322931,0.603233723398109,2.6612433696276
P072,"Pinturas, barnices, tintas y productos relacionados",1.38517569193751,0.939273602584823,0.862950091628149,0.373303038014969,0.431197605612173,0.554595328789184,4.24084937007557
P073,"Jabón, preparados de limpieza, perfumes y preparados de toilet",1.31595903047306,0.8923384857249,0.770612433178201,0.365524461746935,0.40930604810833,0.579011305478464,3.49101654143688
P074,Otros productos químicos,1.72486015434599,1.16961019497926,0.914288001686835,0.195207828256318,0.276532995960316,0.710973335158762,5.73029754302566
P075,Productos farmacéuticos,1.41687322732777,0.960767380184558,0.693901176550298,0.355755080382757,0.422470514646561,0.56223110493918,3.8210780977709
P076,Productos de caucho y plástico,1.30068001911503,0.881977942924647,1.66756402244784,0.475894306254078,0.522764396413986,0.466947704520112,4.16314588197856
P077,Vidrio y productos de vidrio,1.50431204851078,1.02005875892906,0.808222912789542,0.288806080944954,0.37063196191319,0.614054998704343,4.03659827659356
P078,Productos de cerámica y arcilla,1.55421670142235,1.05389859845182,0.81532728118785,0.136782134550059,0.206887678879191,0.778188947192623,19.8219777645451
P079,"Cemento, cal y yeso",1.55347057218101,1.05339265577279,1.44381062433618,0.0957643828894779,0.177155436622125,0.806356950775359,3.68987693030812
P080,"Artículos de hormigón, cemento y yeso",1.89875287602272,1.28752508772772,0.892908571864057,0.0661392271911241,0.16974642153261,0.80012652172852,7.92681418156883
P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,1.68375127508284,1.14173468045178,0.764268351949897,0.195456565315112,0.289869498529439,0.691509800554195,6.97587162694833
P082,"Métales básicos de hierro y acero, productos primarios de metales preciosos y otros metales no ferrosos",1.39223775059158,0.944062313007826,1.21515594978145,0.427777727717767,0.482833893666878,0.504818346773316,3.50605620955027
P083,Productos metálicos estructurales y sus partes de hierro o de acero,1.24547985536003,0.844547271151226,0.831739904986144,0.514618285034395,0.555630658677895,0.432083840554504,7.50482569264721
P084,Otros productos elaborados de metal,1.26174861054578,0.855578949213318,1.15794806716186,0.469994657851002,0.50206076895276,0.484157655768322,7.11987284790311
P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",1.31788842907352,0.893646791367876,0.769881256944309,0.347633792190764,0.406278036414286,0.582758540515199,4.89719440823991
P086,Electrodomésticos y sus partes,1,0.678089868348048,0.678089868359196,0,0,0,0
P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",1,0.678089868348048,0.678089868355326,0,0,0,0
